timestamp,event,candle_time,price,action,trend
2026-08-23T19:38:09.486281,CANDLE_RECEIVED,2026-08-24T10:20:00,113.0,,
2026-08-23T19:38:09.486711,STRATEGY_EVALUATED,2026-08-24T10:20:00,,BUY,BULLISH
2026-08-23T19:38:09.486991,CANDLE_RECEIVED,2026-08-24T10:25:00,114.0,,
2026-08-23T19:38:09.487374,STRATEGY_EVALUATED,2026-08-24T10:25:00,,BUY,BULLISH
2026-08-23T19:38:09.488153,CANDLE_RECEIVED,2026-08-24T10:30:00,115.0,,
2026-08-23T19:38:09.488946,STRATEGY_EVALUATED,2026-08-24T10:30:00,,BUY,BULLISH
2026-08-23T19:38:09.489811,ENTRY_EVALUATED,,,,
2026-08-23T19:38:09.490161,CANDLE_RECEIVED,2026-08-24T10:35:00,116.0,,
2026-08-23T19:38:09.490549,STRATEGY_EVALUATED,2026-08-24T10:35:00,,BUY,BULLISH
2026-08-23T19:38:09.490821,CANDLE_RECEIVED,2026-08-24T10:40:00,117.0,,
2026-08-23T19:38:09.493602,STRATEGY_EVALUATED,2026-08-24T10:40:00,,BUY,BULLISH
2026-08-23T19:38:09.495289,CANDLE_RECEIVED,2026-08-24T10:45:00,118.0,,
2026-08-23T19:38:09.496853,STRATEGY_EVALUATED,2026-08-24T10:45:00,,BUY,BULLISH
2026-08-23T19:38:09.499133,CANDLE_RECEIVED,2026-08-24T10:50:00,119.0,,
2026-08-23T19:38:09.502521,STRATEGY_EVALUATED,2026-08-24T10:50:00,,BUY,BULLISH
2026-08-23T19:38:09.503151,CANDLE_RECEIVED,2026-08-24T10:55:00,125.0,,
2026-08-23T19:38:09.503920,STRATEGY_EVALUATED,2026-08-24T10:55:00,,BUY,BULLISH
2026-08-23T19:38:09.505286,CANDLE_RECEIVED,2026-08-24T11:00:00,130.0,,
2026-08-23T19:38:09.506063,STRATEGY_EVALUATED,2026-08-24T11:00:00,,BUY,BULLISH
2026-08-23T19:38:09.508658,ENTRY_EVALUATED,,,,
2026-08-23T19:38:09.509036,CANDLE_RECEIVED,2026-08-24T11:05:00,130.2,,
2026-08-23T19:38:09.510157,STRATEGY_EVALUATED,2026-08-24T11:05:00,,BUY,BULLISH
2026-08-23T19:38:09.510600,CANDLE_RECEIVED,2026-08-24T11:10:00,130.4,,
2026-08-23T19:38:09.511101,STRATEGY_EVALUATED,2026-08-24T11:10:00,,BUY,BULLISH
2026-08-23T19:38:09.511393,CANDLE_RECEIVED,2026-08-24T11:15:00,130.6,,
2026-08-23T19:38:09.511820,STRATEGY_EVALUATED,2026-08-24T11:15:00,,BUY,BULLISH
2026-08-23T19:38:09.512098,CANDLE_RECEIVED,2026-08-24T11:20:00,130.8,,
2026-08-23T19:38:09.512538,STRATEGY_EVALUATED,2026-08-24T11:20:00,,BUY,BULLISH
2026-08-23T19:38:09.512837,CANDLE_RECEIVED,2026-08-24T11:25:00,131.0,,
2026-08-23T19:38:09.513257,STRATEGY_EVALUATED,2026-08-24T11:25:00,,BUY,BULLISH
2026-08-23T19:38:09.513505,CANDLE_RECEIVED,2026-08-24T11:30:00,131.2,,
2026-08-23T19:38:09.515087,STRATEGY_EVALUATED,2026-08-24T11:30:00,,BUY,BULLISH
2026-08-23T19:38:09.539113,CANDLE_RECEIVED,2026-08-24T11:35:00,131.4,,
2026-08-23T19:38:09.540185,STRATEGY_EVALUATED,2026-08-24T11:35:00,,BUY,BULLISH
2026-08-23T19:38:09.547296,CANDLE_RECEIVED,2026-08-24T11:40:00,131.6,,
2026-08-23T19:38:09.549513,STRATEGY_EVALUATED,2026-08-24T11:40:00,,BUY,BULLISH
2026-08-23T19:38:09.549947,CANDLE_RECEIVED,2026-08-24T11:45:00,131.8,,
2026-08-23T19:38:09.550344,STRATEGY_EVALUATED,2026-08-24T11:45:00,,BUY,BULLISH
2026-08-23T19:38:09.550689,CANDLE_RECEIVED,2026-08-24T11:50:00,132.0,,
2026-08-23T19:38:09.551029,STRATEGY_EVALUATED,2026-08-24T11:50:00,,BUY,BULLISH
2026-08-23T19:38:09.551408,CANDLE_RECEIVED,2026-08-24T11:55:00,132.2,,
2026-08-23T19:38:09.551901,STRATEGY_EVALUATED,2026-08-24T11:55:00,,BUY,BULLISH
2026-08-23T19:38:09.552286,CANDLE_RECEIVED,2026-08-24T12:00:00,132.4,,
2026-08-23T19:38:09.552675,STRATEGY_EVALUATED,2026-08-24T12:00:00,,BUY,BULLISH
2026-08-23T19:38:09.553016,CANDLE_RECEIVED,2026-08-24T12:05:00,132.6,,
2026-08-23T19:38:09.553403,STRATEGY_EVALUATED,2026-08-24T12:05:00,,BUY,BULLISH
2026-08-23T19:38:09.553710,CANDLE_RECEIVED,2026-08-24T12:10:00,132.8,,
2026-08-23T19:38:09.554093,STRATEGY_EVALUATED,2026-08-24T12:10:00,,BUY,BULLISH
2026-08-23T19:38:09.554526,CANDLE_RECEIVED,2026-08-24T12:15:00,133.0,,
2026-08-23T19:38:09.555920,STRATEGY_EVALUATED,2026-08-24T12:15:00,,BUY,BULLISH
2026-08-23T19:38:09.556296,CANDLE_RECEIVED,2026-08-24T12:20:00,133.2,,
2026-08-23T19:38:09.556645,STRATEGY_EVALUATED,2026-08-24T12:20:00,,BUY,BULLISH
2026-08-23T19:38:09.557338,CANDLE_RECEIVED,2026-08-24T12:25:00,133.4,,
2026-08-23T19:38:09.557967,STRATEGY_EVALUATED,2026-08-24T12:25:00,,BUY,BULLISH
2026-08-23T19:38:09.558384,CANDLE_RECEIVED,2026-08-24T12:30:00,133.6,,
2026-08-23T19:38:09.558767,STRATEGY_EVALUATED,2026-08-24T12:30:00,,BUY,BULLISH
2026-08-23T19:38:09.559079,CANDLE_RECEIVED,2026-08-24T12:35:00,133.8,,
2026-08-23T19:38:09.559556,STRATEGY_EVALUATED,2026-08-24T12:35:00,,BUY,BULLISH
2026-08-23T19:38:09.559884,CANDLE_RECEIVED,2026-08-24T12:40:00,134.0,,
2026-08-23T19:38:09.560288,STRATEGY_EVALUATED,2026-08-24T12:40:00,,BUY,BULLISH
2026-08-23T19:38:09.562867,CANDLE_RECEIVED,2026-08-24T12:45:00,134.2,,
2026-08-23T19:38:09.563372,STRATEGY_EVALUATED,2026-08-24T12:45:00,,BUY,BULLISH
2026-08-23T19:38:09.563694,CANDLE_RECEIVED,2026-08-24T12:50:00,134.4,,
2026-08-23T19:38:09.564339,STRATEGY_EVALUATED,2026-08-24T12:50:00,,BUY,BULLISH
2026-08-23T19:38:09.564894,CANDLE_RECEIVED,2026-08-24T12:55:00,134.6,,
2026-08-23T19:38:09.565434,STRATEGY_EVALUATED,2026-08-24T12:55:00,,BUY,BULLISH
2026-08-23T19:38:09.565761,CANDLE_RECEIVED,2026-08-24T13:00:00,134.8,,
2026-08-23T19:38:09.566122,STRATEGY_EVALUATED,2026-08-24T13:00:00,,BUY,BULLISH
2026-08-23T19:38:09.566438,CANDLE_RECEIVED,2026-08-24T13:05:00,135.0,,
2026-08-23T19:38:09.566846,STRATEGY_EVALUATED,2026-08-24T13:05:00,,BUY,BULLISH
2026-08-23T19:38:09.571594,CANDLE_RECEIVED,2026-08-24T13:10:00,135.2,,
2026-08-23T19:38:09.573130,STRATEGY_EVALUATED,2026-08-24T13:10:00,,BUY,BULLISH
2026-08-23T19:38:09.574262,CANDLE_RECEIVED,2026-08-24T13:15:00,135.4,,
2026-08-23T19:38:09.575904,STRATEGY_EVALUATED,2026-08-24T13:15:00,,BUY,BULLISH
2026-08-23T19:38:09.579524,CANDLE_RECEIVED,2026-08-24T13:20:00,135.6,,
2026-08-23T19:38:09.584771,STRATEGY_EVALUATED,2026-08-24T13:20:00,,BUY,BULLISH
2026-08-23T19:38:09.588680,ENTRY_EVALUATED,,,,
2026-08-23T19:38:09.589583,CANDLE_RECEIVED,2026-08-24T13:25:00,135.8,,
2026-08-23T19:38:09.591881,STRATEGY_EVALUATED,2026-08-24T13:25:00,,BUY,BULLISH
2026-08-23T19:38:09.593793,CANDLE_RECEIVED,2026-08-24T13:30:00,136.0,,
2026-08-23T19:38:09.595719,STRATEGY_EVALUATED,2026-08-24T13:30:00,,BUY,BULLISH
2026-08-23T19:38:09.596396,CANDLE_RECEIVED,2026-08-24T13:35:00,136.2,,
2026-08-23T19:38:09.604012,STRATEGY_EVALUATED,2026-08-24T13:35:00,,BUY,BULLISH
2026-08-23T19:38:09.605820,CANDLE_RECEIVED,2026-08-24T13:40:00,136.4,,
2026-08-23T19:38:09.609129,STRATEGY_EVALUATED,2026-08-24T13:40:00,,BUY,BULLISH
2026-08-23T19:38:09.616267,CANDLE_RECEIVED,2026-08-24T13:45:00,136.6,,
2026-08-23T19:38:09.616755,STRATEGY_EVALUATED,2026-08-24T13:45:00,,BUY,BULLISH
2026-08-23T19:38:09.617127,CANDLE_RECEIVED,2026-08-24T13:50:00,136.8,,
2026-08-23T19:38:09.617549,STRATEGY_EVALUATED,2026-08-24T13:50:00,,BUY,BULLISH
2026-08-23T19:38:09.617873,CANDLE_RECEIVED,2026-08-24T13:55:00,137.0,,
2026-08-23T19:38:09.618311,STRATEGY_EVALUATED,2026-08-24T13:55:00,,BUY,BULLISH
2026-08-23T19:38:09.618686,CANDLE_RECEIVED,2026-08-24T14:00:00,137.2,,
2026-08-23T19:38:09.619195,STRATEGY_EVALUATED,2026-08-24T14:00:00,,BUY,BULLISH
2026-08-23T19:38:09.619724,CANDLE_RECEIVED,2026-08-24T14:05:00,137.4,,
2026-08-23T19:38:09.620764,STRATEGY_EVALUATED,2026-08-24T14:05:00,,BUY,BULLISH
2026-08-23T19:38:09.621990,CANDLE_RECEIVED,2026-08-24T14:10:00,137.6,,
2026-08-23T19:38:09.622383,STRATEGY_EVALUATED,2026-08-24T14:10:00,,BUY,BULLISH
2026-08-23T19:38:09.622745,CANDLE_RECEIVED,2026-08-24T14:15:00,137.8,,
2026-08-23T19:38:09.623209,STRATEGY_EVALUATED,2026-08-24T14:15:00,,BUY,BULLISH
2026-08-23T19:38:09.623568,CANDLE_RECEIVED,2026-08-24T14:20:00,138.0,,
2026-08-23T19:38:09.624103,STRATEGY_EVALUATED,2026-08-24T14:20:00,,BUY,BULLISH
2026-08-23T19:38:09.624661,CANDLE_RECEIVED,2026-08-24T14:25:00,138.2,,
2026-08-23T19:38:09.625306,STRATEGY_EVALUATED,2026-08-24T14:25:00,,BUY,BULLISH
2026-08-23T19:38:09.625671,CANDLE_RECEIVED,2026-08-24T14:30:00,138.4,,
2026-08-23T19:38:09.628240,STRATEGY_EVALUATED,2026-08-24T14:30:00,,BUY,BULLISH
2026-08-23T19:38:09.628694,CANDLE_RECEIVED,2026-08-24T14:35:00,138.6,,
2026-08-23T19:38:09.632481,STRATEGY_EVALUATED,2026-08-24T14:35:00,,BUY,BULLISH
2026-08-23T19:38:09.633639,CANDLE_RECEIVED,2026-08-24T14:40:00,138.8,,
2026-08-23T19:38:09.648901,STRATEGY_EVALUATED,2026-08-24T14:40:00,,BUY,BULLISH
2026-08-23T19:38:09.649602,CANDLE_RECEIVED,2026-08-24T14:45:00,139.0,,
2026-08-23T19:38:09.650335,STRATEGY_EVALUATED,2026-08-24T14:45:00,,BUY,BULLISH
2026-08-23T19:38:09.650864,CANDLE_RECEIVED,2026-08-24T14:50:00,139.2,,
2026-08-23T19:38:09.651557,STRATEGY_EVALUATED,2026-08-24T14:50:00,,BUY,BULLISH
2026-08-23T19:38:09.652093,CANDLE_RECEIVED,2026-08-24T14:55:00,139.4,,
2026-08-23T19:38:09.658099,STRATEGY_EVALUATED,2026-08-24T14:55:00,,BUY,BULLISH
2026-08-23T19:38:09.671347,CANDLE_RECEIVED,2026-08-24T15:00:00,139.6,,
2026-08-23T19:38:09.671893,ENTRY_CUTOFF_REACHED,2026-08-24T15:00:00,,,
2026-08-23T19:38:09.672347,STRATEGY_EVALUATED,2026-08-24T15:00:00,,BUY,BULLISH
2026-08-23T19:38:09.672701,CANDLE_RECEIVED,2026-08-24T15:05:00,139.8,,
2026-08-23T19:38:09.673136,STRATEGY_EVALUATED,2026-08-24T15:05:00,,BUY,BULLISH
2026-08-23T19:38:09.673456,CANDLE_RECEIVED,2026-08-24T15:10:00,140.0,,
2026-08-23T19:38:09.673897,STRATEGY_EVALUATED,2026-08-24T15:10:00,,BUY,BULLISH
2026-08-23T19:38:09.674199,CANDLE_RECEIVED,2026-08-24T15:15:00,140.2,,
2026-08-23T19:38:09.674672,STRATEGY_EVALUATED,2026-08-24T15:15:00,,BUY,BULLISH
2026-08-23T19:38:09.675008,CANDLE_RECEIVED,2026-08-24T15:20:00,140.4,,
2026-08-23T19:38:09.682074,STRATEGY_EVALUATED,2026-08-24T15:20:00,,BUY,BULLISH
2026-08-23T19:38:09.685920,CANDLE_RECEIVED,2026-08-24T15:25:00,140.6,,
2026-08-23T19:38:09.689714,STRATEGY_EVALUATED,2026-08-24T15:25:00,,BUY,BULLISH
2026-08-23T19:38:09.691323,CANDLE_RECEIVED,2026-08-24T15:30:00,140.8,,
2026-08-23T19:38:09.699246,EOD_EXIT,,,,
2026-08-23T19:38:09.699742,REPLAY_COMPLETED,,,,
